#RevBayes version (1.0.2)
#Build from development (bd7075) on Sun Sep 25 19:04:16 PDT 2016
Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	d[1][2]	d[1][3]	d[2][1]	d[2][3]	d[3][1]	d[3][2]	e[1]	e[2]	e[3]	subset_sympatry	widespread_sympatry
129	4.74136	-0.218914	4.96028	0.0639316	0.0188782	0.181906	0.181906	0.181906	0.181906	0.181906	0.181906	0.0632787	0.0632787	0.0632787	0.737859	0.19821
130	5.45878	-0.437677	5.89646	0.19821	0.0362953	0.0708705	0.0708705	0.0708705	0.0708705	0.0708705	0.0708705	0.0632787	0.0632787	0.0632787	0.737859	0.0639316
131	6.215	-0.23341	6.44841	0.737859	0.0637202	0.0469604	0.0469604	0.0469604	0.0469604	0.0469604	0.0469604	0.00456814	0.00456814	0.00456814	0.19821	0.0639316
132	4.61918	-0.947703	5.56688	0.19821	0.107471	0.0469604	0.0469604	0.0469604	0.0469604	0.0469604	0.0469604	0.0489711	0.0489711	0.0489711	0.0639316	0.737859
133	5.67401	-0.511658	6.18567	0.19821	0.0659828	0.0469604	0.0469604	0.0469604	0.0469604	0.0469604	0.0469604	0.0285803	0.0285803	0.0285803	0.0639316	0.737859
134	5.11838	-0.560106	5.67848	0.19821	0.0332942	0.0469604	0.0469604	0.0469604	0.0469604	0.0469604	0.0469604	0.111987	0.111987	0.111987	0.737859	0.0639316
135	3.40914	-1.08234	4.49148	0.737859	0.115946	0.105153	0.105153	0.105153	0.105153	0.105153	0.105153	0.0898428	0.0898428	0.0898428	0.0639316	0.19821
136	2.83835	-0.149433	2.98778	0.0639316	0.00449601	0.366974	0.366974	0.366974	0.366974	0.366974	0.366974	0.0898428	0.0898428	0.0898428	0.737859	0.19821
137	4.46679	-0.146046	4.61284	0.19821	0.00449601	0.245455	0.245455	0.245455	0.245455	0.245455	0.245455	0.0488557	0.0488557	0.0488557	0.0639316	0.737859
138	2.79998	-0.665793	3.46577	0.0639316	0.126615	0.205298	0.205298	0.205298	0.205298	0.205298	0.205298	0.0815999	0.0815999	0.0815999	0.737859	0.19821
139	2.32301	-1.06013	3.38314	0.0639316	0.126615	0.141158	0.141158	0.141158	0.141158	0.141158	0.141158	0.154003	0.154003	0.154003	0.19821	0.737859
140	5.05908	-0.583824	5.64291	0.737859	0.0332773	0.0486286	0.0486286	0.0486286	0.0486286	0.0486286	0.0486286	0.113894	0.113894	0.113894	0.19821	0.0639316
141	4.72674	-0.237736	4.96447	0.737859	0.0386518	0.192384	0.192384	0.192384	0.192384	0.192384	0.192384	0.0326069	0.0326069	0.0326069	0.0639316	0.19821
142	2.26763	-0.489588	2.75721	0.19821	0.0386518	0.192384	0.192384	0.192384	0.192384	0.192384	0.192384	0.253333	0.253333	0.253333	0.0639316	0.737859
143	2.69597	-0.65967	3.35564	0.0639316	0.0386518	0.0607699	0.0607699	0.0607699	0.0607699	0.0607699	0.0607699	0.325105	0.325105	0.325105	0.19821	0.737859
144	3.76348	-0.151268	3.91475	0.737859	0.00187747	0.190002	0.190002	0.190002	0.190002	0.190002	0.190002	0.176736	0.176736	0.176736	0.19821	0.0639316
145	3.7444	-1.21829	4.96269	0.0639316	0.0668878	0.0201969	0.0201969	0.0201969	0.0201969	0.0201969	0.0201969	0.176736	0.176736	0.176736	0.737859	0.19821
