Iteration	Posterior	Likelihood	Prior	clock_bg	extirpation_rate[1]	extirpation_rate[2]	extirpation_rate[3]	dispersal_rate[1][1]	dispersal_rate[1][2]	dispersal_rate[2][1]	dispersal_rate[2][2]	dispersal_rate[3][1]	dispersal_rate[3][2]	allopatry_prob	sympatry_prob
105	-1617.26	-49.5805	-1567.68	0.357055	0.0130665	0.0735722	0.591102	0.119491	0.0202381	0.00287227	0.161184	0.0720404	0.127684	0.378076	0.621924
106	-1615.67	-48.2257	-1567.44	0.378693	0.0130665	0.0735722	0.591102	0.119491	0.0182739	0.00287227	0.161184	0.035514	0.127684	0.284902	0.715098
107	-1617.27	-51.0784	-1566.19	0.237579	0.0130665	0.0735722	0.591102	0.132465	0.0135649	0.00287227	0.161184	0.0560295	0.127684	0.195336	0.804664
108	-1616.29	-48.2204	-1568.07	0.410917	0.0130665	0.0735722	0.57157	0.122832	0.0106022	0.00424732	0.161184	0.0560295	0.172839	0.195336	0.804664
109	-1617.03	-48.2409	-1568.79	0.32216	0.0168328	0.0735722	0.671256	0.122832	0.0135098	0.00424732	0.161184	0.0727744	0.210483	0.195336	0.804664
110	-1618.59	-48.7124	-1569.88	0.444332	0.015682	0.0735722	0.671256	0.122832	0.01344	0.00424732	0.136476	0.0727744	0.210483	0.284539	0.715461
111	-1618	-49.3531	-1568.65	0.261538	0.015682	0.0735722	0.671256	0.170812	0.0142728	0.0049986	0.136476	0.0609691	0.248031	0.182472	0.817528
112	-1621.65	-51.2028	-1570.45	0.359104	0.015682	0.0684024	0.609997	0.265103	0.0142728	0.00269202	0.136476	0.0653441	0.300656	0.182472	0.817528
113	-1620.08	-51.1031	-1568.98	0.289574	0.015682	0.0616444	0.609997	0.282962	0.00930327	0.00269202	0.107483	0.0886168	0.222881	0.182472	0.817528
114	-1620.88	-50.7016	-1570.18	0.309603	0.011998	0.0842884	0.609997	0.248448	0.00906584	0.0018072	0.107483	0.0886168	0.33958	0.182472	0.817528
115	-1617.37	-49.2384	-1568.13	0.299981	0.011998	0.106978	0.520946	0.128341	0.00906584	0.00213556	0.102915	0.0843927	0.33958	0.182472	0.817528
116	-1620.01	-51.8158	-1568.2	0.46405	0.00894413	0.106978	0.386259	0.128341	0.00906584	0.00340655	0.102915	0.0843927	0.33958	0.109455	0.890545
117	-1615.36	-49.648	-1565.71	0.295775	0.00894413	0.106978	0.386259	0.0712313	0.0108574	0.00434231	0.0767363	0.0843927	0.33958	0.109455	0.890545
118	-1615.49	-50.4585	-1565.03	0.231257	0.00894413	0.106978	0.366168	0.0987546	0.0103207	0.00463716	0.0574819	0.0843927	0.33958	0.134787	0.865213
