Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	d[1][2]	d[1][3]	d[2][1]	d[2][3]	d[3][1]	d[3][2]	e[1]	e[2]	e[3]	subset_sympatry	widespread_sympatry
94	-6.87817	-25.2249	18.3467	0.524129	0.0236872	0.00425591	0.0335405	0.120545	0.00161335	0.0334308	0.168186	0.0022759	0.120489	0.0292037	0.290924	0.184947
95	-8.11759	-25.6161	17.4985	0.387097	0.05814	0.000734297	0.0335405	0.172032	0.0107498	0.0334308	0.189196	0.0022759	0.120489	0.00146045	0.374699	0.238204
96	-8.77435	-23.9702	15.1959	0.368744	0.0347783	0.000734297	0.00806409	0.373588	0.022336	0.0657053	0.189196	0.0349646	0.120489	0.00245962	0.42134	0.209916
97	-8.74216	-25.0485	16.3064	0.48733	0.0289829	0.00474066	0.00806409	0.160263	0.022336	0.0637443	0.189196	0.0352291	0.193014	0.0356954	0.405848	0.106822
98	-15.9948	-27.6007	11.606	0.335516	0.0299252	0.00474066	0.00806409	0.160263	0.299472	0.0637443	0.189196	0.0352291	0.388219	0.0324485	0.401814	0.262669
99	-14.8174	-29.9494	15.132	0.15365	0.0276749	0.0227329	0.00884064	0.0808673	0.299472	0.100849	0.0134843	0.0352291	0.237105	0.0324485	0.353434	0.492916
100	-13.7838	-29.6463	15.8625	0.13301	0.133986	0.0652966	0.00884064	0.0220087	0.00273236	0.100849	0.0211205	0.327973	0.0506244	0.0522236	0.146505	0.720485
101	-12.7131	-27.9753	15.2622	0.297207	0.0424362	0.131005	0.00884064	0.0147132	0.00273236	0.100849	0.155129	0.327973	0.00977699	0.0522236	0.583962	0.118832
102	-12.6188	-28.1296	15.5108	0.198109	0.0906503	0.0980729	0.00884064	0.0341697	0.00379188	0.170043	0.0108504	0.327973	0.049385	0.0270455	0.657595	0.144297
103	-15.2514	-28.5638	13.3124	0.301812	0.07217	0.0980729	0.000867171	0.048506	0.0816994	0.170043	0.0108504	0.327973	0.0476637	0.182819	0.572552	0.125636
104	-13.4789	-25.7653	12.2863	0.315296	0.0449188	0.36276	0.0390552	0.112061	0.0816994	0.0204855	0.0232423	0.219961	0.0476637	0.19142	0.663036	0.0216675
105	-10.2254	-25.2982	15.0728	0.457076	0.0508078	0.194637	0.0390552	0.112061	0.0816994	0.098757	0.015638	0.219961	0.015002	0.037003	0.534171	0.00875264
106	-12.8977	-23.4913	10.5936	0.600033	0.0586846	0.0961437	0.0390552	0.382559	0.0816994	0.0866625	0.197427	0.219961	0.015002	0.135346	0.389179	0.0107883
107	-13.9812	-25.0964	11.1152	0.600033	0.0586846	0.244414	0.117192	0.16178	0.0500356	0.0866625	0.00823859	0.27217	0.125857	0.135346	0.389179	0.0107883
108	-19.4947	-28.0875	8.59281	0.36818	0.0239301	0.244414	0.120407	0.0676084	0.00895334	0.0866625	0.498247	0.201192	0.125857	0.135346	0.528959	0.10286
109	-15.129	-26.3462	11.2172	0.659527	0.102858	0.244414	0.120407	0.243312	0.00895334	0.0866625	0.00543094	0.0461621	0.256633	0.135346	0.309985	0.0304882
110	-12.4151	-25.0438	12.6287	0.674735	0.080159	0.244414	0.00973261	0.247388	0.00895334	0.0866625	0.0106827	0.0290607	0.256633	0.135346	0.296139	0.0291263
111	-14.6208	-25.302	10.6812	0.842272	0.0358749	0.247136	0.100615	0.189233	0.00895334	0.140858	0.168655	0.0461977	0.230911	0.135346	0.0580641	0.0996643
112	-14.0961	-27.009	12.9129	0.51482	0.0363648	0.202874	0.100615	0.0806982	0.00895334	0.113194	0.168655	0.0770404	0.156872	0.135346	0.351192	0.133988
113	-10.6259	-24.3085	13.6827	0.46998	0.0363648	0.0319036	0.100615	0.297318	0.004945	0.113194	0.168655	0.0462682	0.156872	0.047497	0.300377	0.229643
114	-11.7662	-25.4327	13.6664	0.451035	0.0639911	0.0523947	0.102777	0.284067	0.0708145	0.0119189	0.168655	0.0462682	0.156872	0.047497	0.311114	0.237851
115	-8.80322	-24.7939	15.9907	0.434418	0.0183224	0.0523947	0.02776	0.214707	0.0947403	0.0257327	0.168655	0.0206113	0.102407	0.047497	0.506904	0.0586777
116	-9.05452	-25.3702	16.3157	0.387176	0.0114317	0.0558214	0.0565754	0.276568	0.0936747	0.0495782	0.0077632	0.0504817	0.0909393	0.047497	0.48879	0.124034
117	-12.2937	-27.168	14.8743	0.404534	0.0114317	0.21542	0.0565754	0.276568	0.0381715	0.0495782	0.0077632	0.0504817	0.0165747	0.161901	0.15486	0.440606
118	-10.6622	-26.6033	15.9411	0.3004	0.0512136	0.21542	0.0565754	0.146119	0.0381715	0.0149527	0.0077632	0.0690997	0.0165747	0.161901	0.132514	0.567086
119	-10.848	-24.548	13.7	0.767109	0.0658372	0.21542	0.0565754	0.119637	0.0238569	0.25944	0.0077632	0.0721116	0.0193538	0.161901	0.0196816	0.213209
120	-14.2286	-26.1091	11.8806	0.486516	0.0391576	0.21542	0.0565754	0.119637	0.0891865	0.25944	0.0077632	0.0741373	0.0193538	0.303173	0.38304	0.130444
121	-10.6035	-25.9819	15.3784	0.290286	0.019086	0.21542	0.0565296	0.246838	0.0891865	0.0805623	0.0077632	0.0741373	0.0193538	0.0251807	0.409131	0.300583
122	-12.7282	-28.6683	15.9401	0.208174	0.0418477	0.21542	0.0437502	0.0829751	0.13069	0.0805623	0.0535127	0.0741373	0.0193538	0.035642	0.348223	0.443603
