Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	d[1][2]	d[1][3]	d[2][1]	d[2][3]	d[3][1]	d[3][2]	e[1]	e[2]	e[3]	subset_sympatry	widespread_sympatry
123	-17.8656	-24.8649	6.99924	0.681727	0.0326947	0.0269782	0.0269782	0.0269782	0.0269782	0.0269782	0.0269782	0.000493264	0.000493264	0.000493264	0.25296	0.0653128
124	-18.4827	-24.8683	6.38561	0.866862	0.0311147	0.087388	0.087388	0.087388	0.087388	0.087388	0.087388	0.00302662	0.00302662	0.00302662	0.0285539	0.104584
125	-21.5916	-26.7504	5.15886	0.389172	0.0355737	0.102804	0.102804	0.102804	0.102804	0.102804	0.102804	0.105827	0.105827	0.105827	0.524062	0.0867655
126	-21.6552	-25.1876	3.53239	0.635523	0.0418773	0.312904	0.312904	0.312904	0.312904	0.312904	0.312904	0.0520699	0.0520699	0.0520699	0.312704	0.0517723
127	-22.5098	-26.9655	4.45578	0.598512	0.0801473	0.182295	0.182295	0.182295	0.182295	0.182295	0.182295	0.0520699	0.0520699	0.0520699	0.34787	0.0536183
128	-19.4078	-25.3273	5.91949	0.657031	0.0248587	0.115422	0.115422	0.115422	0.115422	0.115422	0.115422	0.0278602	0.0278602	0.0278602	0.29797	0.0449993
129	-20.3432	-27.1649	6.82168	0.283896	0.0526428	0.0208028	0.0208028	0.0208028	0.0208028	0.0208028	0.0208028	0.00447681	0.00447681	0.00447681	0.672036	0.0440684
130	-19.2318	-26.0437	6.81185	0.510586	0.0565903	0.015836	0.015836	0.015836	0.015836	0.015836	0.015836	0.0064787	0.0064787	0.0064787	0.451442	0.037972
131	-19.3632	-26.0692	6.70602	0.556943	0.0382605	0.0447487	0.0447487	0.0447487	0.0447487	0.0447487	0.0447487	0.0064787	0.0064787	0.0064787	0.166106	0.276951
132	-20.699	-26.8351	6.13606	0.419736	0.0447675	0.0783846	0.0783846	0.0783846	0.0783846	0.0783846	0.0783846	0.023332	0.023332	0.023332	0.257454	0.32281
133	-23.0888	-28.4162	5.32745	0.230198	0.0304727	0.117385	0.117385	0.117385	0.117385	0.117385	0.117385	0.0794876	0.0794876	0.0794876	0.342093	0.427709
134	-20.0737	-26.9416	6.86791	0.485002	0.0316487	0.0223161	0.0223161	0.0223161	0.0223161	0.0223161	0.0223161	0.0193348	0.0193348	0.0193348	0.248483	0.266516
135	-22.6022	-27.1811	4.57892	0.381131	0.0547988	0.106326	0.106326	0.106326	0.106326	0.106326	0.106326	0.141073	0.141073	0.141073	0.409432	0.209437
136	-20.3423	-26.1701	5.82786	0.468292	0.0490509	0.0856969	0.0856969	0.0856969	0.0856969	0.0856969	0.0856969	0.0425568	0.0425568	0.0425568	0.419233	0.112475
137	-19.6404	-25.9109	6.27052	0.561823	0.0433294	0.0534547	0.0534547	0.0534547	0.0534547	0.0534547	0.0534547	0.0362544	0.0362544	0.0362544	0.345487	0.09269
138	-20.9682	-26.7707	5.80252	0.456467	0.0274993	0.100339	0.100339	0.100339	0.100339	0.100339	0.100339	0.052	0.052	0.052	0.288029	0.255505
139	-21.857	-27.2976	5.44066	0.334206	0.0401819	0.0818369	0.0818369	0.0818369	0.0818369	0.0818369	0.0818369	0.0940059	0.0940059	0.0940059	0.423753	0.242041
140	-22.6801	-28.8715	6.19139	0.20763	0.0395551	0.0514089	0.0514089	0.0514089	0.0514089	0.0514089	0.0514089	0.0499874	0.0499874	0.0499874	0.263262	0.529107
141	-23.6402	-25.3892	1.74898	0.560391	0.0279142	0.501092	0.501092	0.501092	0.501092	0.501092	0.501092	0.056185	0.056185	0.056185	0.356288	0.083321
142	-27.7137	-26.0087	-1.70504	0.662183	0.0502119	0.437829	0.437829	0.437829	0.437829	0.437829	0.437829	0.442553	0.442553	0.442553	0.273789	0.0640281
143	-26.6522	-26.1813	-0.470914	0.625389	0.0696398	0.451403	0.451403	0.451403	0.451403	0.451403	0.451403	0.286139	0.286139	0.286139	0.347326	0.0272851
144	-19.3653	-25.4982	6.13293	0.625389	0.0286669	0.0825252	0.0825252	0.0825252	0.0825252	0.0825252	0.0825252	0.0356052	0.0356052	0.0356052	0.347326	0.0272851
145	-21.1872	-25.9349	4.74765	0.397645	0.0264619	0.213152	0.213152	0.213152	0.213152	0.213152	0.213152	0.0457109	0.0457109	0.0457109	0.585006	0.0173489
146	-19.4207	-25.2925	5.8718	0.663875	0.0487946	0.0930223	0.0930223	0.0930223	0.0930223	0.0930223	0.0930223	0.0310935	0.0310935	0.0310935	0.315518	0.0206075
147	-18.4855	-24.782	6.29645	0.660928	0.0336749	0.0930223	0.0930223	0.0930223	0.0930223	0.0930223	0.0930223	0.00374766	0.00374766	0.00374766	0.325762	0.0133103
148	-23.01	-28.233	5.22302	0.548791	0.101477	0.0998906	0.0998906	0.0998906	0.0998906	0.0998906	0.0998906	0.0364206	0.0364206	0.0364206	0.433497	0.0177123
149	-20.1855	-25.754	5.56857	0.524125	0.0406926	0.12958	0.12958	0.12958	0.12958	0.12958	0.12958	0.0329614	0.0329614	0.0329614	0.352457	0.123418
